id,x,y
1,0,3095.9986999999965
1,296.7682926919141,2921.6027999999933
1,593.5365853845792,2755.7774000000063
1,890.3048780763681,2558.0292000000045
1,1187.0731707689797,2351.625899999999
1,1483.8414634609476,2151.7743000000046
1,1780.6097561536662,1945.3733999999968
1,2077.3780488455805,1729.7853000000032
1,2374.146341538299,1541.662599999996
1,2670.9146342300346,1362.2482000000018
1,2967.682926922646,1183.0463000000018
1,3264.4512196146675,1044.3659999999945
1,3561.2195123073325,913.8849999999948
1,3857.987804999944,797.5488000000041
1,4154.756097691733,706.7645000000048
1,4451.52439038463,638.2070999999996
1,4748.292683076312,580.9815999999992
1,5045.060975769031,549.9665999999997
1,5341.829268460999,541.7311999999947
1,5638.5975611536105,556.4921999999933
1,5935.365853845399,596.9777000000031
1,6232.134146538065,660.2513999999937
1,6528.902439229979,750.4814999999944
1,6825.670731922697,855.3859999999986
1,7122.4390246153625,959.4046999999991
1,7419.207317307277,1088.3381999999983
1,7715.975609999996,1213.801099999997
1,8012.743902691731,1325.1774000000005
1,8309.512195384343,1454.6803000000073
1,8606.280488076363,1560.863400000002
1,8903.048780769028,1646.0004000000044
1,9199.817073460941,1722.149900000004
1,9496.58536615366,1776.9614000000001
1,9793.353658845395,1798.9565000000002
1,10090.121951538007,1817.2309999999998
1,10386.890244230028,1817.8558000000048
1,10683.658536922692,1814.6638999999996
1,10980.426829615304,1807.390499999994
1,11277.195122307325,1790.304999999993
1,11573.96341499999,1781.2358999999997
1,11870.731707691672,1759.6110000000044
1,12167.50000038439,1737.686400000006
1,12464.268293077055,1717.3647999999957
1,12761.036585768969,1691.4033999999956
1,13057.804878461688,1659.791200000007
1,13354.573171153315,1639.7235999999975
1,13651.341463846267,1608.9590999999928
1,13948.109756538057,1573.3114999999962
1,14244.878049230614,1547.654899999994
1,14541.646341922635,1508.774900000004
1,14838.414634615354,1461.8031999999948
1,15135.182927307036,1426.8171000000002
1,15431.9512199997,1371.8104000000021
1,15728.719512691614,1313.2522000000026
1,16025.487805384333,1266.154899999994
1,16322.256098076998,1209.3341999999975
1,16619.02439076891,1161.2979999999952
1,16915.5159238553,1130.2976999999955
1,17212.00745694192,1107.3889000000054
1,17508.49899002831,1107.544299999994
1,17804.990523114,1123.2048000000068
1,18101.48205620062,1162.279800000004
1,18397.97358928701,1220.3761999999988
1,18694.465122373633,1282.5956000000006
1,18990.956655459326,1365.5304000000033
1,19287.44818854571,1443.6199999999953
1,19583.939721632334,1527.0040000000008
1,19880.431254718955,1599.0890999999974
1,20176.922787805343,1674.562699999995
1,20473.414320891032,1738.0587999999989
1,20769.905853977656,1790.9426999999996
1,21066.397387064044,1846.7854999999981
1,21362.888920150668,1892.4118000000017
1,21659.380453237056,1947.7537000000011
1,21955.871986322745,2001.9150999999983
1,22252.363519409366,2061.4158000000025
1,22548.855052495757,2125.1217000000033
1,22845.346585582378,2192.239499999996
1,23141.838118668766,2260.073399999994
1,23438.329651755386,2317.532500000001
1,23734.82118484108,2375.798999999999
1,24031.312717927703,2422.002900000007
1,24327.80425101409,2454.5397999999986
1,24624.295784100712,2474.107799999998
1,24920.7873171871,2475.6273999999976
1,25217.27885027279,2460.0620999999956
1,25513.770383359413,2422.9976000000024
1,25810.2619164458,2367.644100000005
1,26106.75344953242,2304.1456000000035
1,26403.244982618813,2216.6098000000056
1,26699.736515704502,2111.646900000007
1,26996.228048791123,2012.1931999999942
1,27292.71958187751,1895.1628999999957
1,27589.21111496413,1769.9245999999985
1,27885.702648049824,1663.306500000006
1,28182.194181136212,1553.3788000000059
1,28478.685714222836,1446.2670999999973
1,28775.177247309457,1363.6934000000037
1,29071.668780395845,1291.134699999995
1,29368.160313481538,1224.5328000000009
1,29664.65184656816,1180.421199999997
1,29961.143379654546,1147.1984999999986
1,30257.634912741167,1120.3901999999944
1,30554.12644582756,1105.0149999999994
1,30850.61797891325,1090.6398000000045
